"FAC_B.Bayonne","FAC_B.Goethals","FAC_B.GWB.Lower","FAC_B.GWB.PIP","FAC_B.GWB.Upper","FAC_B.Holland","FAC_B.Lincoln","FAC_B.Outerbridge","Month_Name.April","Month_Name.August","Month_Name.December","Month_Name.February","Month_Name.January","Month_Name.July","Month_Name.June","Month_Name.March","Month_Name.May","Month_Name.November","Month_Name.October","Month_Name.September","Month","Yr","Day_Name.Friday","Day_Name.Monday","Day_Name.Saturday","Day_Name.Sunday","Day_Name.Thursday","Day_Name.Tuesday","Day_Name.Wednesday","Weekend_Weekday.Weekday","Weekend_Weekday.Weekend","Weekend_Flag","Event_Flag","TMAX","TMIN","PRCP","SNOW","SNWD","AWND","Total_Traffic","Predicted_Traffic","Error"
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2019,0,0,1,0,0,0,0,0,1,1,0,47,41,0.5,0,0,5.06851082188837,34925,35386.39453125,-461.39453125
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2019,0,0,0,1,0,0,0,0,1,1,0,33,25,0,0,0,5.06851082188837,4064,1437.63012695312,2626.36987304688
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2020,1,0,0,0,0,0,0,1,0,0,0,45,37,0.37,0,0,7.61,43277,41629.3359375,1647.6640625
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2020,1,0,0,0,0,0,0,1,0,0,0,45,37,0.37,0,0,7.61,10954,15211.640625,-4257.640625
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2019,0,1,0,0,0,0,0,1,0,0,0,32,22,0,0,0,5.06851082188837,38635,38552.109375,82.890625
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,2019,0,1,0,0,0,0,0,1,0,0,0,32,22,0,0,0,5.06851082188837,37930,37457.26953125,472.73046875
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2019,0,1,0,0,0,0,0,1,0,0,0,32,22,0,0,0,5.06851082188837,58708,56942.68359375,1765.31640625
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2019,0,1,0,0,0,0,0,1,0,0,1,14,4,0,0,0,5.06851082188837,34989,34567.296875,421.703125
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2019,1,0,0,0,0,0,0,1,0,0,0,79,68,0,0,0,2.68,43788,44151.546875,-363.546875
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2019,1,0,0,0,0,0,0,1,0,0,0,79,68,0,0,0,2.68,54939,52222.9609375,2716.0390625
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2019,0,0,1,0,0,0,0,0,1,1,0,87,73,0,0,0,3.36,8758,9829.0517578125,-1071.0517578125
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2019,0,0,1,0,0,0,0,0,1,1,0,87,73,0,0,0,3.36,72529,77393.8984375,-4864.8984375
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2020,0,0,1,0,0,0,0,0,1,1,0,48,36,0,0,0,7.61,42967,37856.23046875,5110.76953125
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2020,1,0,0,0,0,0,0,1,0,0,0,70,45,0.26,0,0,8.72,39545,38861.5859375,683.4140625
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2020,1,0,0,0,0,0,0,1,0,0,0,70,45,0.26,0,0,8.72,62203,55853.5859375,6349.4140625
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2019,0,0,0,0,0,1,0,1,0,0,0,43,25,0.23,0,0,5.06851082188837,38079,37898.41015625,180.58984375
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2020,1,0,0,0,0,0,0,1,0,0,0,70,45,0.26,0,0,8.72,14580,17579.98046875,-2999.98046875
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2020,1,0,0,0,0,0,0,1,0,0,0,70,45,0.26,0,0,8.72,53766,54029.2890625,-263.2890625
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2020,0,0,0,0,0,0,1,1,0,0,0,74,60,0.02,0,0,8.28,44252,44767.65625,-515.65625
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10,2020,0,0,0,0,0,0,1,1,0,0,0,74,60,0.02,0,0,8.28,39527,37993.5078125,1533.4921875
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12,2021,0,0,0,0,1,0,0,1,0,0,0,39,31,0,0,0,5.59,57766,53095.765625,4670.234375
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,2021,1,0,0,0,0,0,0,1,0,0,0,50,38,0,0,0,2.91,43343,41350.55859375,1992.44140625
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,2021,1,0,0,0,0,0,0,1,0,0,0,50,38,0,0,0,2.91,52505,49183.71875,3321.28125
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,12,2021,1,0,0,0,0,0,0,1,0,0,0,50,38,0,0,0,2.91,40269,39616.61328125,652.38671875
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,2021,1,0,0,0,0,0,0,1,0,0,0,50,38,0,0,0,2.91,61483,63869.18359375,-2386.18359375
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2019,0,0,0,0,1,0,0,1,0,0,0,16,2,0,0,0,5.06851082188837,41883,43205.5234375,-1322.5234375
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2019,0,0,0,0,1,0,0,1,0,0,0,16,2,0,0,0,5.06851082188837,53787,54249.9375,-462.9375
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2020,0,0,0,0,1,0,0,1,0,0,0,64,53,0,0,0,7.83,16557,17952.462890625,-1395.462890625
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2020,0,0,0,0,1,0,0,1,0,0,0,64,53,0,0,0,7.83,56215,50367.74609375,5847.25390625
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2020,0,0,1,0,0,0,0,0,1,1,0,71,58,0,0,0,6.04,37050,35450.125,1599.875
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,2020,0,0,0,0,1,0,0,1,0,0,0,71,57,0,0,0,4.7,35168,34463.7109375,704.2890625
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2019,0,0,1,0,0,0,0,0,1,1,0,87,73,0,0,0,3.36,16458,16703.181640625,-245.181640625
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2019,0,0,0,0,0,0,1,1,0,0,0,74,67,0.08,0,0,3.8,43188,43766.1796875,-578.1796875
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2019,0,0,0,0,0,0,1,1,0,0,0,74,67,0.08,0,0,3.8,49887,50439.09765625,-552.09765625
0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,8,2019,0,0,0,0,0,0,1,1,0,0,0,74,67,0.08,0,0,3.8,42352,43004.3828125,-652.3828125
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2019,0,1,0,0,0,0,0,1,0,0,1,74,69,0.3,0,0,2.46,7661,7426.8095703125,234.1904296875
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,2019,0,1,0,0,0,0,0,1,0,0,1,74,69,0.3,0,0,2.46,48440,47716.5,723.5
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2019,0,0,0,0,1,0,0,1,0,0,0,46,33,0,0,0,5.06851082188837,9022,9323.439453125,-301.439453125
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2019,0,0,0,0,1,0,0,1,0,0,0,46,33,0,0,0,5.06851082188837,59908,61289.09765625,-1381.09765625
